id,precision,condition,mix_level,cmi,n_words,tts_lang,wer,cer,synth_s,audio_s,rtf,peak_mb,text,heard
EN017,fp16,EN,,0.0,9,en,0.0,0.0,2.39,4.03,0.594,7890.9,The farmers woke early and headed toward their fields.,The farmers woke early and headed toward their fields.
HI017,fp16,HI,,0.0,10,hi,0.1,0.020833333333333332,4.22,5.94,0.711,7911.2,किसान सुबह जल्दी उठकर अपने खेतों की ओर निकल पड़े,किसान सुबहा जल्दी उठकर अपने खेतों की ओर निकल पड़े।
EN018,fp16,EN,,0.0,10,en,0.1,0.05084745762711865,1.98,3.62,0.547,7886.5,The construction of this bridge was completed ten years ago.,The construction of this bridge was completed 10 years ago.
HI018,fp16,HI,,0.0,10,hi,0.1,0.023809523809523808,3.14,4.78,0.656,7899.4,इस पुल का निर्माण दस वर्ष पहले ही पूरा हुआ,इस पुल का निर्मान दस वर्ष पहले ही पूरा हुआ.
EN019,fp16,EN,,0.0,8,en,0.0,0.0,1.89,3.42,0.552,7885.5,He admitted his mistake and asked for forgiveness.,He admitted his mistake and asked for forgiveness.
HI019,fp16,HI,,0.0,10,hi,0.3,0.044444444444444446,3.25,5.65,0.574,7908.1,उसने अपनी गलती स्वीकार की और माफ़ी भी मांग ली,उसने अपनी गलती स्वीकार की और माफी भी मांगली.
EN020,fp16,EN,,0.0,9,en,0.0,0.0,2.26,3.42,0.659,7885.5,The roads closed because snow fell on the mountains.,The roads closed because snow fell on the mountains.
HI020,fp16,HI,,0.0,10,hi,1.6,1.2340425531914894,5.93,9.89,0.6,7954.2,पहाड़ों पर बर्फ़ गिरने से सारे रास्ते बंद हो गए,पहारों पर बर्फ गिरनी सी सारी रास्ती बंद हो गई। इस शमूनी सा नवरंडाईन नाज़ो चर्फ शार्णन्यानी भू गई।
EN021,fp16,EN,,0.0,8,en,0.0,0.0,1.65,2.55,0.646,7876.7,I had a very scary dream last night.,I had a very scary dream last night.
HI021,fp16,HI,,0.0,10,hi,0.1,0.023255813953488372,3.1,5.29,0.585,7904.9,मैंने कल रात एक बहुत ही डरावना सपना देखा था,मैंने कल रात एक बहुत ही दरावना सपना देखा था।
EN022,fp16,EN,,0.0,9,en,0.1111111111111111,0.12962962962962962,2.06,3.52,0.586,7885.9,This ancient temple was built in the sixteenth century.,This ancient temple was built in the 16th century.
HI022,fp16,HI,,0.0,9,hi,0.1111111111111111,0.08163265306122448,3.55,5.33,0.666,7905.3,यह प्राचीन मंदिर सोलहवीं शताब्दी में बनाया गया था,यह प्राचीन मंदिर सॉल्विंग शताब्दी में बनाया गया था।
EN023,fp16,EN,,0.0,9,en,0.0,0.0,1.89,3.34,0.567,7884.1,The teacher asked everyone in class to listen carefully.,The teacher asked everyone in class to listen carefully.
HI023,fp16,HI,,0.0,10,hi,0.4,0.0851063829787234,3.75,5.89,0.637,7910.6,अध्यापक ने कक्षा में सबको ध्यान से सुनने को कहा,"अध्याबग ने कक्षा में सब को ध्यान सी सुनने को कहा,"
EN024,fp16,EN,,0.0,11,en,0.0,0.0,1.93,3.1,0.62,7881.8,He reached the office late because he was stuck in traffic.,He reached the office late because he was stuck in traffic.
HI024,fp16,HI,,0.0,10,hi,0.4,0.12,3.1,5.24,0.591,7904.5,ट्रैफ़िक में फँसने के कारण वह दफ़्तर देर से पहुँचा,ट्राफिक में फसने के कारण वह दफ्तर दी से पहुँचा.
EN025,fp16,EN,,0.0,8,en,0.0,0.0,2.27,3.01,0.754,7879.7,We should plant trees to protect the environment.,We should plant trees to protect the environment.
HI025,fp16,HI,,0.0,10,hi,0.2,0.09803921568627451,2.89,4.96,0.583,7903.1,हमें पर्यावरण की रक्षा के लिए अधिक पेड़ लगाने चाहिए,हमें परियावरन की रक्षा के लिए अधिक पीर लगाने चाहिए।
EN026,fp16,EN,,0.0,10,en,0.0,0.0,1.97,3.15,0.627,7882.1,He wrote a letter and sent it to his friend.,He wrote a letter and sent it to his friend.
HI026,fp16,HI,,0.0,10,hi,0.1,0.09090909090909091,3.64,5.29,0.689,7904.9,उसने एक पत्र लिखकर अपने मित्र को भेज दिया था,उसने एक पत्र लिखकर अपने मित्र को भेज जीताया था।
EN027,fp16,EN,,0.0,8,en,0.0,0.0,1.84,3.34,0.55,7884.1,Vegetable prices in the market rose sharply today.,Vegetable prices in the market rose sharply today.
HI027,fp16,HI,,0.0,10,hi,0.3,0.06521739130434782,3.49,5.71,0.611,7908.7,बाज़ार में आज सब्ज़ियों के दाम बहुत बढ़ गए हैं,बाजार में आज सब्जियों की दाम बहुत बढ़ गए हैं।
EN028,fp16,EN,,0.0,9,en,0.1111111111111111,0.061224489795918366,1.81,3.34,0.544,7884.0,The girl won first place in the dance competition.,The girl won first place in a dance competition.
HI028,fp16,HI,,0.0,10,hi,0.0,0.0,3.2,5.43,0.589,7906.0,लड़की ने नृत्य प्रतियोगिता में पहला स्थान प्राप्त किया था,लड़की ने नृत्य प्रतियोगिता में पहला स्थान प्राप्त किया था।
EN029,fp16,EN,,0.0,8,en,0.0,0.0,2.02,2.78,0.727,7878.4,The fog is very dense on winter mornings.,The fog is very dense on winter mornings.
HI029,fp16,HI,,0.0,10,hi,0.2,0.0625,3.69,6.22,0.593,7914.2,सर्दियों की सुबह कोहरा बहुत घना और सफ़ेद होता है,सर्दियों की सुभै कोहरा बहुत घना और सफेद होता है।
EN030,fp16,EN,,0.0,10,en,0.0,0.0,2.21,3.85,0.575,7889.0,They did not lose courage even in a difficult situation.,They did not lose courage even in a difficult situation.
HI030,fp16,HI,,0.0,9,hi,0.1111111111111111,0.019230769230769232,3.66,5.29,0.691,7904.9,उन्होंने कठिन परिस्थिति में भी अपनी हिम्मत नहीं हारी,उन्होंने कठिन परिस्थिती में भी अपनी हिम्मत नहीं हारी.
EN031,fp16,EN,,0.0,8,en,0.0,0.0,1.71,2.78,0.613,7878.4,Wheat and mustard are cultivated in this region.,Wheat and mustard are cultivated in this region.
HI031,fp16,HI,,0.0,10,hi,0.2,0.06666666666666667,3.24,5.33,0.608,7905.2,इस क्षेत्र में गेहूँ और सरसों की खेती होती है,इस क्षेत्र में गेहू और सरसाँ की खेती होती है।
EN032,fp16,EN,,0.0,8,en,0.0,0.0,2.55,4.27,0.597,7893.4,The child fell asleep immediately after drinking milk.,The child fell asleep immediately after drinking milk.
HI032,fp16,HI,,0.0,10,hi,0.2,0.09090909090909091,3.24,5.52,0.588,7906.7,बच्चा दूध पीने के तुरंत बाद गहरी नींद सो गया,बच्चा दूद पीने के तुरंत बाद गहरी निम सो गया।
EN033,fp16,EN,,0.0,11,en,0.0,0.0,2.42,3.24,0.745,7883.3,There is always a crowd of patients at the government hospital.,There is always a crowd of patients at the government hospital.
HI033,fp16,HI,,0.0,10,hi,0.2,0.057692307692307696,3.88,6.44,0.603,7916.6,सरकारी अस्पताल में मरीज़ों की भीड़ हमेशा लगी रहती है,सरकारी अस्पताल में मरीजों की भील हमेशा लगी रहती है।
EN034,fp16,EN,,0.0,10,en,0.0,0.0,1.67,3.01,0.556,7879.7,She gave her brother a watch as a birthday gift.,She gave her brother a watch as a birthday gift.
HI034,fp16,HI,,0.0,10,hi,0.2,0.045454545454545456,3.71,5.38,0.689,7905.6,उसने अपने भाई को जन्मदिन पर एक घड़ी उपहार दी,उसने अपने भाई को जनव दिन पर एक घड़ी उपहार दी.
EN035,fp16,EN,,0.0,8,en,0.0,0.0,1.48,2.45,0.601,7876.7,I felt very sad after watching this film.,I felt very sad after watching this film.
HI035,fp16,HI,,0.0,10,hi,0.8,0.7674418604651163,5.34,7.98,0.669,7933.0,यह फ़िल्म देखने के बाद मुझे बहुत दुख हुआ था,यह फ़ल्म देखने के बाद मुझे बहुत दुख हुआ था. इससे उन्हों रहन चीज से चैसे हैं.
EN036,fp16,EN,,0.0,8,en,0.0,0.0,1.86,2.97,0.627,7879.3,The villagers were busy preparing for the festival.,The villagers were busy preparing for the festival.
HI036,fp16,HI,,0.0,10,hi,0.7,0.574468085106383,4.32,6.73,0.642,7920.6,गाँव के सभी लोग त्योहार की तैयारी में व्यस्त थे,"इस सम्नोने नो टिदा नवया, गाउं के सभी लोग त्योहार की तयारी में व्यस्त थे।"
EN037,fp16,EN,,0.0,8,en,0.0,0.0,1.53,2.64,0.579,7877.7,The court delivered its verdict in this case.,The court delivered its verdict in this case.
HI037,fp16,HI,,0.0,10,hi,0.2,0.0392156862745098,3.52,5.8,0.606,7909.7,न्यायालय ने इस पूरे मामले में अपना निर्णय सुना दिया,नियायालय ने इस पूरे मामले में अपना निर्नय सुना दिया।
EN038,fp16,EN,,0.0,10,en,0.0,0.0,1.95,3.01,0.649,7879.7,We sat on the roof and kept watching the stars.,We sat on the roof and kept watching the stars.
HI038,fp16,HI,,0.0,10,hi,0.4,0.075,2.77,4.82,0.574,7899.7,छत पर बैठकर हम देर तक तारों को देखते रहे,छद पर बैठ कर हम देर तक तारों को देखती रहे।
EN039,fp16,EN,,0.0,9,en,0.0,0.0,1.63,2.87,0.569,7878.8,His hard work finally paid off in the end.,His hard work finally paid off in the end.
HI039,fp16,HI,,0.0,10,hi,0.3,0.07317073170731707,4.12,5.75,0.716,7909.1,उसकी मेहनत का फल उसे आख़िर में मिल ही गया,उसकी महनत का फोल उसे आखिर में मिल ही गया.
EN040,fp16,EN,,0.0,11,en,0.0,0.0,1.98,3.52,0.564,7886.0,There was a long queue of passengers at the railway station.,There was a long queue of passengers at the railway station.
HI040,fp16,HI,,0.0,10,hi,0.0,0.0,3.02,5.43,0.555,7906.0,रेलवे स्टेशन पर यात्रियों की बहुत लंबी कतार लगी थी,रेलवे स्टेशन पर यात्रियों की बहुत लंबी कतार लगी थी।
EN041,fp16,EN,,0.0,8,en,0.0,0.0,1.61,2.78,0.578,7878.4,Grandmother used to tell us stories every night.,Grandmother used to tell us stories every night.
HI041,fp16,HI,,0.0,10,hi,0.3,0.0625,2.9,4.73,0.613,7899.0,दादी माँ हर रात हमें नई कहानियाँ सुनाया करती थीं,दादी मा हर रात हमें नई कहानिया सुनाया करती थी।
EN042,fp16,EN,,0.0,8,en,0.0,0.0,1.7,3.06,0.555,7880.3,Rural areas will benefit greatly from this scheme.,Rural areas will benefit greatly from this scheme.
HI042,fp16,HI,,0.0,10,hi,0.2,0.0392156862745098,3.62,5.57,0.65,7907.2,इस योजना से ग्रामीण क्षेत्रों को बहुत अधिक लाभ होगा,इस योजना से ग्रामीन क्षेत्रों को बहुत अधिक लाब होगा।
EN043,fp16,EN,,0.0,8,en,0.125,0.09090909090909091,2.03,3.71,0.546,7887.4,He wakes at five every morning and exercises.,He wakes at 5 every morning and exercises.
HI043,fp16,HI,,0.0,9,hi,0.4444444444444444,0.08695652173913043,4.33,6.12,0.707,7913.1,वह प्रतिदिन सुबह पाँच बजे उठकर व्यायाम करता है,वह प्रति दिन सुभा पांच बजे उठकर व्यायाम करता है।
EN044,fp16,EN,,0.0,10,en,0.0,0.0,1.55,2.87,0.54,7878.8,The fishermen set out to catch fish in the sea.,The fishermen set out to catch fish in the sea.
HI044,fp16,HI,,0.0,10,hi,0.2,0.12,3.08,5.29,0.582,7905.0,मछुआरे समुद्र में मछली पकड़ने सुबह ही निकल पड़े थे,मच्चुवारे समुद्र में मचली पकड़ने सुबह ही निकल पड़े थे।
EN045,fp16,EN,,0.0,8,en,0.0,0.0,2.15,3.57,0.602,7886.1,This book has been translated into several languages.,This book has been translated into several languages.
HI045,fp16,HI,,0.0,10,hi,0.0,0.0,3.09,5.38,0.575,7905.6,इस पुस्तक का अनुवाद अब तक कई भाषाओं में हुआ,इस पुस्तक का अनुवाद अब तक कई भाषाओं में हुआ.
EN046,fp16,EN,,0.0,9,en,0.0,0.0,1.96,3.06,0.641,7880.2,The contractor did not pay the workers on time.,The contractor did not pay the workers on time.
HI046,fp16,HI,,0.0,10,hi,0.3,0.06382978723404255,3.56,5.85,0.609,7910.2,ठेकेदार ने मज़दूरों को समय पर वेतन नहीं दिया था,ठेकिदार ने मजदूरों को समय पर वीतन नहीं दिया था।
EN047,fp16,EN,,0.0,10,en,0.0,0.0,2.05,3.48,0.588,7885.7,The sky turned orange as soon as the sun set.,The sky turned orange as soon as the sun set.
HI047,fp16,HI,,0.0,10,hi,0.1,0.022727272727272728,4.26,6.22,0.685,7914.2,सूरज ढलते ही आसमान पूरा नारंगी रंग का हो गया,सूरज धलते ही आसमान पूरा नारंगी रंग का हो गया.
EN048,fp16,EN,,0.0,9,en,0.0,0.0,1.75,3.24,0.541,7883.2,The students presented a play at the annual function.,The students presented a play at the annual function.
HI048,fp16,HI,,0.0,10,hi,0.2,0.08333333333333333,3.38,5.75,0.588,7909.2,विद्यार्थियों ने वार्षिक समारोह में एक नाटक प्रस्तुत किया था,विद्यार्थियों ने वाशिक समारोहों में एक नाटक प्रस्तुत किया था।
EN049,fp16,EN,,0.0,8,en,0.0,0.0,2.23,3.8,0.588,7888.2,The soil here is very fertile for farming.,The soil here is very fertile for farming.
HI049,fp16,HI,,0.0,11,hi,0.18181818181818182,0.04,2.69,4.82,0.558,7899.8,यहाँ की मिट्टी खेती के लिए बहुत उपजाऊ मानी जाती है,यहां की मिट्टी खेती के लिए बहुत उपजाओ मानी जाती है।
EN050,fp16,EN,,0.0,11,en,0.0,0.0,2.47,3.52,0.702,7886.0,He came home angry and slammed the door shut behind him.,He came home angry and slammed the door shut behind him.
HI050,fp16,HI,,0.0,11,hi,0.18181818181818182,0.06382978723404255,3.35,5.8,0.578,7909.7,वह क्रोध में घर आया और दरवाज़ा ज़ोर से बंद किया,वह क्रोध में घर आया और दर्वाजा जोर से बंद किया।
HGM001,fp16,HING_MIX,low,11.1,9,hi,0.0,0.0,3.24,5.43,0.597,7906.0,मैंने कल रात अपना project पूरा कर लिया था,मैंने कल रात अपना प्रोजेक्ट पूरा कर लिया था।
HGR001,fp16,HING_ROM,low,11.1,9,en,0.3333333333333333,0.0975609756097561,3.86,6.54,0.59,7917.6,Maine kal raat apna project poora kar liya tha,में काल राट अपनी प्रोजेक्ट पूरा कार लिया थाक्स
HGM002,fp16,HING_MIX,low,10.0,10,hi,0.2,0.06382978723404255,3.53,5.89,0.6,7910.6,डॉक्टर ने कहा कि मुझे यह medicine रोज़ लेनी है,डॉक्टर ने कहा कि मुझे यह मेडिसिन रोज लेनी है।
HGR002,fp16,HING_ROM,low,10.0,10,en,0.9,0.40425531914893614,3.77,6.54,0.577,7917.6,Doctor ne kaha ki mujhe yeh medicine roz leni hai,"Dr. Noor Yohan, Kahaki Moya. E-Medicine, Rosalini Hai."
HGM003,fp16,HING_MIX,low,11.1,9,hi,0.1111111111111111,0.08333333333333333,2.99,5.29,0.566,7904.9,उसका interview अगले हफ़्ते सोमवार को होने वाला है,उसका इंटरव्यू अगले हफ़ते सोमवार को होने वाला है।
HGR003,fp16,HING_ROM,low,11.1,9,en,0.6666666666666666,0.22916666666666666,3.86,6.59,0.586,7918.2,Uska interview agle hafte Somvaar ko hone wala hai,"उसके इंटरव्यू, एगल हाफ्ते सौन वार, को होने वाला है।"
HGM004,fp16,HING_MIX,low,11.1,9,hi,0.0,0.0,2.74,4.68,0.586,7897.7,बच्चे शाम को park में खेलने चले गए थे,बच्चे शाम को पार्क में खेलने चले गए थे।
HGR004,fp16,HING_ROM,low,11.1,9,en,0.4444444444444444,0.21052631578947367,4.9,8.17,0.6,7935.1,Bachche shaam ko park mein khelne chale gaye the,"बच्चे शाम को पार्क, मान केलने, शाले, गे, सू, सी."
HGM005,fp16,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.09090909090909091,3.34,5.01,0.667,7903.1,मुझे इस साल का result देखकर बहुत ख़ुशी हुई,मुझे इस साल का रिजुल देखकर बहुत खुशी होई।
HGR005,fp16,HING_ROM,low,11.1,9,en,0.4444444444444444,0.19047619047619047,3.37,5.85,0.577,7910.2,Mujhe is saal ka result dekhkar bahut khushi hui,"मुयुए इस साल का रिजॉल्ट देखकार बहूर्ट, खुशी हुई."
HGM006,fp16,HING_MIX,low,11.1,9,hi,0.3333333333333333,0.1702127659574468,3.97,5.71,0.695,7908.7,हमारी flight सुबह छह बजे दिल्ली से रवाना होगी,हमारी फ्लाइट सुभा 6 बजे दिल्ली से रवाना होगी.
HGR006,fp16,HING_ROM,low,11.1,9,en,0.7777777777777778,0.2708333333333333,3.51,5.98,0.587,7911.7,Hamari flight subah chhah baje Delhi se rawana hogi,हमारी फ्लाइट सुबा शाबाय. देलीजे रोवाना होगी.
HGM007,fp16,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.04878048780487805,3.53,5.52,0.641,7906.7,उसने अपना नया phone कल बाज़ार से ख़रीदा था,उसने अपना नया फोन कल बाजार से खरीदा था।
HGR007,fp16,HING_ROM,low,11.1,9,en,0.4444444444444444,0.12195121951219512,2.92,5.1,0.573,7903.4,Usne apna naya phone kal bazaar se khareeda tha,"उसने अपना नाया फोन, काल बजार, सिकरीदा था."
HGM008,fp16,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.045454545454545456,2.98,5.29,0.563,7904.9,मैं रोज़ सुबह जल्दी उठकर gym जाने लगा हूँ,मैं रोज सुबा जल्दी उठकर गिम जाने लगा हूँ।
HGR008,fp16,HING_ROM,low,11.1,9,en,1.0,0.2558139534883721,3.38,5.8,0.582,7909.7,Main roz subah jaldi uthkar gym jaane laga hoon,नेन रासुबा यालदी उथकार। जिम्न याने लागाहून।
HGM009,fp16,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.09302325581395349,2.91,5.2,0.561,7903.6,यह movie देखने के बाद मुझे बहुत अच्छा लगा,यहां मूवी देखने के बाद मुझे बहुत अच्छा लगा.
HGR009,fp16,HING_ROM,low,11.1,9,en,0.8888888888888888,0.32558139534883723,2.64,4.73,0.558,7899.0,Yeh movie dekhne ke baad mujhe bahut achha laga,ये मूवी देशन कबाएं मूई वाहूट आखा लागा।
HGM010,fp16,HING_MIX,low,11.1,9,hi,0.1111111111111111,0.023255813953488372,2.61,4.73,0.551,7899.0,उसकी salary पिछले महीने से थोड़ी बढ़ गई है,उसकी सरारी पिछले महिने से थोड़ी बढ़ गई है।
HGR010,fp16,HING_ROM,low,11.1,9,en,0.4444444444444444,0.11627906976744186,3.42,5.29,0.646,7905.0,Uski salary pichhle mahine se thodi badh gayi hai,"आसकी सैलरी, पिखले महीन से तोड़ी बाद गाई है।"
HGM011,fp16,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.06818181818181818,3.03,5.24,0.579,7904.5,हमें कल तक यह form ज़रूर जमा करना होगा,हमें कल तक यह फॉर्म जरूर जमा करना होगा.
HGR011,fp16,HING_ROM,low,11.1,9,en,0.6666666666666666,0.17777777777777778,3.83,5.57,0.688,7907.2,Hamein kal tak yeh form zaroor jama karna hoga,हमाईं काल तक ये फॉर्म सर्वर जमाकारना होगा।
HGM012,fp16,HING_MIX,low,11.1,9,hi,0.7777777777777778,0.5,3.71,6.3,0.589,7915.1,मेरे papa हर रविवार को सब्ज़ी लेने जाते हैं,मेरे पापा नोना हर वैयार नो कमान शान ही सीखाने जाते हैं।
HGR012,fp16,HING_ROM,low,11.1,9,en,0.7777777777777778,0.18181818181818182,4.48,6.5,0.689,7917.1,Mere papa har Ravivaar ko sabzi lene jaate hain,मेर पपाहर राविवार को सब्सीलेन याते हाइनें।
HGM013,fp16,HING_MIX,low,11.1,9,hi,1.5555555555555556,1.3243243243243243,5.11,8.59,0.595,7939.5,उसने अपनी car पिछले साल ही बेच दी थी,"उस सिन्याई दोन, अरम्नो नोगरो, इन सिव दोन ही चालिण, दिस इनाईं से बाद कारबरा."
HGR013,fp16,HING_ROM,low,11.1,9,en,0.7777777777777778,0.43243243243243246,3.22,5.61,0.573,7908.6,Usne apni car pichhle saal hi bech di thi,उज्यानान अपनी कार पिशला जालाई बेश्टिती
HGM014,fp16,HING_MIX,low,11.1,9,hi,0.3333333333333333,0.061224489795918366,3.66,5.75,0.637,7909.1,यह building सोलह मंज़िल ऊँची और बहुत पुरानी है,"यह बिल्डिंग सोला, मन्जिल, उंची और बहुत पुरानी है."
HGR014,fp16,HING_ROM,low,11.1,9,en,0.4444444444444444,0.10204081632653061,3.99,6.77,0.589,7921.0,Yeh building solah manzil oonchi aur bahut purani hai,"ये बिल्डिंग सोल मांसील उंची ओर, बाहुट पुरानी, हाई."
HGM015,fp16,HING_MIX,low,11.1,9,hi,0.1111111111111111,0.05263157894736842,3.12,4.36,0.715,7894.3,बारिश की वजह से आज school बंद कर दिया,बारिश की वज़ा से आज स्कूल बंद कर दिया।
HGR015,fp16,HING_ROM,low,11.1,9,en,0.5555555555555556,0.2631578947368421,3.93,6.77,0.58,7920.9,Baarish ki wajah se aaj school band kar diya,"बारिश के इवी, वाया से, आया स्कूर, बांड कार, दिया."
HGM016,fp16,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.07317073170731707,3.68,5.15,0.714,7903.5,उसने मुझे कल रात एक लंबा message भेजा था,उसने मुझे कल रात एक लंबा मिस्सागे धीजा था।
HGR016,fp16,HING_ROM,low,11.1,9,en,0.8888888888888888,0.2926829268292683,3.61,6.22,0.58,7914.2,Usne mujhe kal raat ek lamba message bheja tha,"उजना मुयकाल, राट, एकलंबा, मैसेज बेयाता."
