id,precision,condition,mix_level,cmi,n_words,tts_lang,wer,cer,synth_s,audio_s,rtf,peak_mb,text,heard
EN015,fp32,EN,,0.0,9,en,0.0,0.0,14.11,3.01,4.69,6026.8,The match was cancelled today because of the rain.,The match was cancelled today because of the rain.
HI015,fp32,HI,,0.0,10,hi,0.1,0.05,24.94,5.24,4.761,6026.8,बारिश के कारण आज का मैच रद्द कर दिया गया,बारिश के कारण आज का मैच रद कर दिया गया।
EN016,fp32,EN,,0.0,9,en,0.0,0.0,15.24,3.38,4.507,6026.8,Her voice was so sweet that everyone was enchanted.,Her voice was so sweet that everyone was enchanted.
HI016,fp32,HI,,0.0,10,hi,0.4,0.17391304347826086,23.89,5.24,4.56,6026.8,उसकी आवाज़ इतनी मधुर थी कि सब मंत्रमुग्ध हो गए,उसकी आवाज इतनी मधूर थी कि सब मंत्रों भो गए।
EN017,fp32,EN,,0.0,9,en,0.0,0.0,15.4,3.34,4.61,6026.8,The farmers woke early and headed toward their fields.,The farmers woke early and headed toward their fields.
HI017,fp32,HI,,0.0,10,hi,0.1,0.041666666666666664,24.87,5.43,4.581,6026.8,किसान सुबह जल्दी उठकर अपने खेतों की ओर निकल पड़े,किसान सुभा जल्दी उठकर अपने खेतों की ओर निकल पड़े।
EN018,fp32,EN,,0.0,10,en,0.1,0.05084745762711865,19.43,4.03,4.817,6026.8,The construction of this bridge was completed ten years ago.,The construction of this bridge was completed 10 years ago.
HI018,fp32,HI,,0.0,10,hi,0.3,0.07142857142857142,21.15,4.68,4.516,6026.8,इस पुल का निर्माण दस वर्ष पहले ही पूरा हुआ,इस पुल का निर्मान दस वर्ष पहल ही पुरा हुआ.
EN019,fp32,EN,,0.0,8,en,0.0,0.0,17.97,3.76,4.786,6026.8,He admitted his mistake and asked for forgiveness.,He admitted his mistake and asked for forgiveness.
HI019,fp32,HI,,0.0,10,hi,0.4,0.08888888888888889,27.25,5.8,4.695,6026.8,उसने अपनी गलती स्वीकार की और माफ़ी भी मांग ली,उसने अपनी गले स्वीकार की और माफी भी मांगली.
EN020,fp32,EN,,0.0,9,en,0.0,0.0,17.39,3.8,4.578,6026.8,The roads closed because snow fell on the mountains.,The roads closed because snow fell on the mountains.
HI020,fp32,HI,,0.0,10,hi,0.4,0.0851063829787234,27.75,6.03,4.604,6026.8,पहाड़ों पर बर्फ़ गिरने से सारे रास्ते बंद हो गए,पहाडों पर बर्फ गिरने से सारे रास्ती बंध हो गए।
EN021,fp32,EN,,0.0,8,en,0.0,0.0,11.37,2.55,4.459,6026.8,I had a very scary dream last night.,I had a very scary dream last night.
HI021,fp32,HI,,0.0,10,hi,0.1,0.023255813953488372,23.59,5.24,4.504,6026.8,मैंने कल रात एक बहुत ही डरावना सपना देखा था,मैंने कल रात एक बहुत ही दरावना सपना देखा था।
EN022,fp32,EN,,0.0,9,en,0.1111111111111111,0.12962962962962962,15.38,3.38,4.547,6026.8,This ancient temple was built in the sixteenth century.,This ancient temple was built in the 16th century.
HI022,fp32,HI,,0.0,9,hi,0.2222222222222222,0.061224489795918366,23.68,5.24,4.52,6026.8,यह प्राचीन मंदिर सोलहवीं शताब्दी में बनाया गया था,यह प्राचीन मंदिर सोलवी शताबदी में बनाया गया था।
EN023,fp32,EN,,0.0,9,en,0.0,0.0,16.3,3.38,4.819,6026.8,The teacher asked everyone in class to listen carefully.,The teacher asked everyone in class to listen carefully.
HI023,fp32,HI,,0.0,10,hi,0.2,0.02127659574468085,24.63,5.38,4.581,6026.8,अध्यापक ने कक्षा में सबको ध्यान से सुनने को कहा,अध्यापक ने कक्षा में सब को ध्यान से सुनने को कहा.
EN024,fp32,EN,,0.0,11,en,0.0,0.0,14.6,3.1,4.701,6026.8,He reached the office late because he was stuck in traffic.,He reached the office late because he was stuck in traffic.
HI024,fp32,HI,,0.0,10,hi,0.5,0.16,26.52,5.61,4.726,6026.8,ट्रैफ़िक में फँसने के कारण वह दफ़्तर देर से पहुँचा,ट्राफिक में फनसने की कारण वह दफटर देर सी पहुँचा.
EN025,fp32,EN,,0.0,8,en,0.0,0.0,13.28,2.92,4.541,6026.8,We should plant trees to protect the environment.,We should plant trees to protect the environment.
HI025,fp32,HI,,0.0,10,hi,0.2,0.11764705882352941,25.65,5.61,4.571,6026.8,हमें पर्यावरण की रक्षा के लिए अधिक पेड़ लगाने चाहिए,हमें परियावरन की रक्षा के लिए अधिक पैर्ड लगाने चाहिए।
EN026,fp32,EN,,0.0,10,en,0.0,0.0,11.68,2.5,4.68,6026.8,He wrote a letter and sent it to his friend.,He wrote a letter and sent it to his friend.
HI026,fp32,HI,,0.0,10,hi,0.2,0.022727272727272728,23.68,4.96,4.774,6026.8,उसने एक पत्र लिखकर अपने मित्र को भेज दिया था,उसने एक पत्र लिख कर अपने मित्र को भेज दिया था।
EN027,fp32,EN,,0.0,8,en,0.0,0.0,17.51,3.85,4.547,6026.8,Vegetable prices in the market rose sharply today.,Vegetable prices in the market rose sharply today.
HI027,fp32,HI,,0.0,10,hi,0.4,0.08695652173913043,23.69,5.24,4.523,6026.8,बाज़ार में आज सब्ज़ियों के दाम बहुत बढ़ गए हैं,बाजार में आज सब्जियों के दाम बहुत बढ़ गई है।
EN028,fp32,EN,,0.0,9,en,0.0,0.0,17.69,3.89,4.542,6026.8,The girl won first place in the dance competition.,The girl won first place in the dance competition.
HI028,fp32,HI,,0.0,10,hi,0.0,0.0,27.48,5.85,4.701,6026.8,लड़की ने नृत्य प्रतियोगिता में पहला स्थान प्राप्त किया था,लड़की ने नृत्य प्रतियोगिता में पहला स्थान प्राप्त किया था।
EN029,fp32,EN,,0.0,8,en,0.0,0.0,14.59,3.2,4.559,6026.8,The fog is very dense on winter mornings.,The fog is very dense on winter mornings.
HI029,fp32,HI,,0.0,10,hi,0.1,0.020833333333333332,28.09,6.17,4.555,6026.8,सर्दियों की सुबह कोहरा बहुत घना और सफ़ेद होता है,सर्दियों की सुबह कोहरा बहुत घना और सफेद होता है।
EN030,fp32,EN,,0.0,10,en,0.0,0.0,18.97,4.03,4.704,6026.8,They did not lose courage even in a difficult situation.,They did not lose courage even in a difficult situation.
HI030,fp32,HI,,0.0,9,hi,0.1111111111111111,0.019230769230769232,24.21,5.33,4.538,6026.8,उन्होंने कठिन परिस्थिति में भी अपनी हिम्मत नहीं हारी,उन्होंने कठिन परिस्थिती में भी अपनी हिम्मत नहीं हारी।
EN031,fp32,EN,,0.0,8,en,0.0,0.0,14.02,3.01,4.659,6026.8,Wheat and mustard are cultivated in this region.,Wheat and mustard are cultivated in this region.
HI031,fp32,HI,,0.0,10,hi,0.2,0.08888888888888889,24.45,5.29,4.621,6026.8,इस क्षेत्र में गेहूँ और सरसों की खेती होती है,इस क्षेत्र में गेहु और सरसौआ की खेती होती है।
EN032,fp32,EN,,0.0,8,en,0.0,0.0,14.5,3.15,4.607,6026.8,The child fell asleep immediately after drinking milk.,The child fell asleep immediately after drinking milk.
HI032,fp32,HI,,0.0,10,hi,0.3,0.11363636363636363,24.66,5.24,4.708,6026.8,बच्चा दूध पीने के तुरंत बाद गहरी नींद सो गया,बच्चा दूद पीने के तुरंट बाद गहरी मीन सो गया.
EN033,fp32,EN,,0.0,11,en,0.0,0.0,14.36,3.15,4.563,6026.8,There is always a crowd of patients at the government hospital.,There is always a crowd of patients at the government hospital.
HI033,fp32,HI,,0.0,10,hi,0.2,0.057692307692307696,27.02,5.98,4.515,6026.8,सरकारी अस्पताल में मरीज़ों की भीड़ हमेशा लगी रहती है,सरकारी अस्पताल में मरीजों की भीर हमेशा लगी रहती है।
EN034,fp32,EN,,0.0,10,en,0.0,0.0,11.88,2.55,4.658,6026.8,She gave her brother a watch as a birthday gift.,She gave her brother a watch as a birthday gift.
HI034,fp32,HI,,0.0,10,hi,0.2,0.022727272727272728,27.06,5.94,4.553,6026.8,उसने अपने भाई को जन्मदिन पर एक घड़ी उपहार दी,उसने अपने भाई को जन्म दिन पर एक घड़ी उपहार दी.
EN035,fp32,EN,,0.0,8,en,0.0,0.0,14.03,3.1,4.518,6026.8,I felt very sad after watching this film.,I felt very sad after watching this film.
HI035,fp32,HI,,0.0,10,hi,0.2,0.046511627906976744,25.61,5.61,4.563,6026.8,यह फ़िल्म देखने के बाद मुझे बहुत दुख हुआ था,ये फिल्म देखने के बाद मुझे बहुत दुख हुआ था.
EN036,fp32,EN,,0.0,8,en,0.0,0.0,14.24,3.2,4.451,6026.8,The villagers were busy preparing for the festival.,The villagers were busy preparing for the festival.
HI036,fp32,HI,,0.0,10,hi,0.2,0.06382978723404255,20.5,4.5,4.553,6026.8,गाँव के सभी लोग त्योहार की तैयारी में व्यस्त थे,गाउं के सभी लोग त्योहार की तयारी में व्यस्त थे।
EN037,fp32,EN,,0.0,8,en,0.0,0.0,13.89,3.06,4.537,6026.8,The court delivered its verdict in this case.,The court delivered its verdict in this case.
HI037,fp32,HI,,0.0,10,hi,0.2,0.11764705882352941,26.31,5.71,4.609,6026.8,न्यायालय ने इस पूरे मामले में अपना निर्णय सुना दिया,न्याहिलालाई ने इस पूरी मामले में अपना निर्णय सुना दिया।
EN038,fp32,EN,,0.0,10,en,0.0,0.0,15.52,3.34,4.649,6026.8,We sat on the roof and kept watching the stars.,We sat on the roof and kept watching the stars.
HI038,fp32,HI,,0.0,10,hi,0.5,0.1,23.57,5.29,4.454,6026.8,छत पर बैठकर हम देर तक तारों को देखते रहे,छट पर बैठ कर हम देर तक तारों को देखती रही।
EN039,fp32,EN,,0.0,9,en,0.0,0.0,13.95,2.97,4.704,6026.8,His hard work finally paid off in the end.,His hard work finally paid off in the end.
HI039,fp32,HI,,0.0,10,hi,0.2,0.04878048780487805,23.29,5.24,4.446,6026.8,उसकी मेहनत का फल उसे आख़िर में मिल ही गया,उसकी महनत का फल उसे आखिर में मिल ही गया.
EN040,fp32,EN,,0.0,11,en,0.0,0.0,15.71,3.38,4.645,6026.8,There was a long queue of passengers at the railway station.,There was a long queue of passengers at the railway station.
HI040,fp32,HI,,0.0,10,hi,0.2,0.04,21.47,4.78,4.492,6026.8,रेलवे स्टेशन पर यात्रियों की बहुत लंबी कतार लगी थी,रेल्वे स्टेशन पर याथ्रियों की बहुत लंबी कतार लगी थी।
EN041,fp32,EN,,0.0,8,en,0.0,0.0,12.73,2.69,4.736,6026.8,Grandmother used to tell us stories every night.,Grandmother used to tell us stories every night.
HI041,fp32,HI,,0.0,10,hi,0.3,0.0625,24.76,5.33,4.642,6026.8,दादी माँ हर रात हमें नई कहानियाँ सुनाया करती थीं,दादी मा हर रात हमें नई कहानिया सुनाया करती थी।
EN042,fp32,EN,,0.0,8,en,0.0,0.0,14.86,3.34,4.451,6026.8,Rural areas will benefit greatly from this scheme.,Rural areas will benefit greatly from this scheme.
HI042,fp32,HI,,0.0,10,hi,0.3,0.09803921568627451,24.12,5.15,4.682,6026.8,इस योजना से ग्रामीण क्षेत्रों को बहुत अधिक लाभ होगा,इस योजना से ग्रामीनक शेत्रों को बहुत अधिक लाब होगा.
EN043,fp32,EN,,0.0,8,en,0.0,0.0,18.8,4.17,4.507,6026.8,He wakes at five every morning and exercises.,He wakes at five every morning and exercises.
HI043,fp32,HI,,0.0,9,hi,0.4444444444444444,0.06521739130434782,23.73,5.29,4.485,6026.8,वह प्रतिदिन सुबह पाँच बजे उठकर व्यायाम करता है,वह प्रति दिन सुबहा पांच बजे उठकर व्यायाम करता है।
EN044,fp32,EN,,0.0,10,en,0.0,0.0,13.33,2.92,4.558,6026.8,The fishermen set out to catch fish in the sea.,The fishermen set out to catch fish in the sea.
HI044,fp32,HI,,0.0,10,hi,0.2,0.1,27.21,5.8,4.689,6026.8,मछुआरे समुद्र में मछली पकड़ने सुबह ही निकल पड़े थे,मच्छुवारे समुद्र में मचली पकड़ने सुबह ही निकल पड़े थे।
EN045,fp32,EN,,0.0,8,en,0.0,0.0,18.5,4.17,4.434,6026.8,This book has been translated into several languages.,This book has been translated into several languages.
HI045,fp32,HI,,0.0,10,hi,0.1,0.046511627906976744,23.58,5.24,4.501,6026.8,इस पुस्तक का अनुवाद अब तक कई भाषाओं में हुआ,इस पुस्तक का अनुआद अब तक कई भाषाओं में हुआ.
EN046,fp32,EN,,0.0,9,en,0.0,0.0,12.96,2.87,4.514,6026.8,The contractor did not pay the workers on time.,The contractor did not pay the workers on time.
HI046,fp32,HI,,0.0,10,hi,0.2,0.0851063829787234,24.03,5.33,4.505,6026.8,ठेकेदार ने मज़दूरों को समय पर वेतन नहीं दिया था,ठेकेदार नहीं मजदूरों को समय पर वेतन नहीं दिया था।
EN047,fp32,EN,,0.0,10,en,0.0,0.0,13.08,2.97,4.411,6026.8,The sky turned orange as soon as the sun set.,The sky turned orange as soon as the sun set.
HI047,fp32,HI,,0.0,10,hi,0.1,0.022727272727272728,25.95,5.65,4.59,6026.8,सूरज ढलते ही आसमान पूरा नारंगी रंग का हो गया,सूरज धलते ही आसमान पूरा नारंगी रंग का हो गया।
EN048,fp32,EN,,0.0,9,en,0.0,0.0,16.27,3.42,4.75,6026.8,The students presented a play at the annual function.,The students presented a play at the annual function.
HI048,fp32,HI,,0.0,10,hi,0.1,0.03333333333333333,26.72,5.85,4.57,6026.8,विद्यार्थियों ने वार्षिक समारोह में एक नाटक प्रस्तुत किया था,विद्यार्थियों ने वार्षिक समारोहों में एक नाटक प्रस्तुत किया था।
EN049,fp32,EN,,0.0,8,en,0.0,0.0,12.68,2.87,4.419,6026.8,The soil here is very fertile for farming.,The soil here is very fertile for farming.
HI049,fp32,HI,,0.0,11,hi,0.18181818181818182,0.06,21.45,4.54,4.72,6026.8,यहाँ की मिट्टी खेती के लिए बहुत उपजाऊ मानी जाती है,यहां की मिट्टी खेती के लिए बहुत उबजाओ मानी जाती है।
EN050,fp32,EN,,0.0,11,en,0.0,0.0,15.12,3.29,4.602,6026.8,He came home angry and slammed the door shut behind him.,He came home angry and slammed the door shut behind him.
HI050,fp32,HI,,0.0,11,hi,0.36363636363636365,0.10638297872340426,24.13,5.29,4.56,6026.8,वह क्रोध में घर आया और दरवाज़ा ज़ोर से बंद किया,वक्रोध में घर आया और दर्वाजा जोर से बंद किया।
HGM001,fp32,HING_MIX,low,11.1,9,hi,0.0,0.0,21.98,4.68,4.692,6026.8,मैंने कल रात अपना project पूरा कर लिया था,मैंने कल रात अपना प्रोजेक्ट पूरा कर लिया था।
HGR001,fp32,HING_ROM,low,11.1,9,en,0.7777777777777778,0.1951219512195122,24.43,5.24,4.664,6026.8,Maine kal raat apna project poora kar liya tha,"Main Kalrat Apna Project, Pora Kalia"
HGM002,fp32,HING_MIX,low,10.0,10,hi,0.2,0.06382978723404255,26.47,5.71,4.638,6026.8,डॉक्टर ने कहा कि मुझे यह medicine रोज़ लेनी है,डॉक्टर ने कहा कि मुझे यह मैडिसिन रोज लेनी है।
HGR002,fp32,HING_ROM,low,10.0,10,en,0.8,0.2553191489361702,28.55,6.44,4.431,6026.8,Doctor ne kaha ki mujhe yeh medicine roz leni hai,"Dr. No, Kahaki Muya, Ye Medicine, Rose, Lini Hai"
HGM003,fp32,HING_MIX,low,11.1,9,hi,0.1111111111111111,0.08333333333333333,25.21,5.52,4.572,6026.8,उसका interview अगले हफ़्ते सोमवार को होने वाला है,उसका इंटरव्यू अगले हफ़ते सोमवार को होने वाला है।
HGR003,fp32,HING_ROM,low,11.1,9,en,0.5555555555555556,0.20833333333333334,25.81,5.71,4.523,6026.8,Uska interview agle hafte Somvaar ko hone wala hai,उसका इंटरव्यू एगिल हाफ्ते सम्वार को होना वाला हाई
HGM004,fp32,HING_MIX,low,11.1,9,hi,0.1111111111111111,0.02631578947368421,20.5,4.45,4.609,6026.8,बच्चे शाम को park में खेलने चले गए थे,बच्चे शान को पार्क में खेलने चले गए थे।
HGR004,fp32,HING_ROM,low,11.1,9,en,0.7777777777777778,0.34210526315789475,27.46,6.03,4.556,6026.8,Bachche shaam ko park mein khelne chale gaye the,"बखशम को पार्क, माइन केलनर शाले गे, वी सियल"
HGM005,fp32,HING_MIX,low,11.1,9,hi,0.3333333333333333,0.09090909090909091,23.0,5.06,4.549,6026.8,मुझे इस साल का result देखकर बहुत ख़ुशी हुई,मुझे इस साल का रिजुल देख कर बहुत खुशी हुई।
HGR005,fp32,HING_ROM,low,11.1,9,en,0.3333333333333333,0.11904761904761904,28.88,6.5,4.446,6026.8,Mujhe is saal ka result dekhkar bahut khushi hui,मुझे इस साल का रिजल्ट दे का बहुत कुशी हुई।
HGM006,fp32,HING_MIX,low,11.1,9,hi,0.3333333333333333,0.1702127659574468,23.56,5.29,4.452,6026.8,हमारी flight सुबह छह बजे दिल्ली से रवाना होगी,हमारी फ्लाइट सुभार 6 बजे दिल्ली से रवाना होगी।
HGR006,fp32,HING_ROM,low,11.1,9,en,0.8888888888888888,0.6458333333333334,16.83,3.71,4.532,6026.8,Hamari flight subah chhah baje Delhi se rawana hogi,"हमारी फ्लाइट, सुबा, शा."
HGM007,fp32,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.04878048780487805,25.54,5.57,4.586,6026.8,उसने अपना नया phone कल बाज़ार से ख़रीदा था,उसने अपना नया फोन कल बाजार से खरीदा था।
HGR007,fp32,HING_ROM,low,11.1,9,en,0.6666666666666666,0.24390243902439024,27.28,5.94,4.591,6026.8,Usne apna naya phone kal bazaar se khareeda tha,"उसेन, अपना नया, फ़ुन काल बाजार सिकरीदा ताल।"
HGM008,fp32,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.045454545454545456,25.4,5.61,4.526,6026.8,मैं रोज़ सुबह जल्दी उठकर gym जाने लगा हूँ,मैं रोज सुभा जल्दी उठकर गिम जाने लगा हूँ।
HGR008,fp32,HING_ROM,low,11.1,9,en,0.7777777777777778,0.16279069767441862,27.79,6.17,4.508,6026.8,Main roz subah jaldi uthkar gym jaane laga hoon,में रोस सुबा याल्डी उठकार जिम याने अगा हूँ।
HGM009,fp32,HING_MIX,low,11.1,9,hi,0.1111111111111111,0.046511627906976744,19.42,4.41,4.407,6026.8,यह movie देखने के बाद मुझे बहुत अच्छा लगा,यह मूवी देखने के बाद मुझे बहुत अच्छा लगा।
HGR009,fp32,HING_ROM,low,11.1,9,en,0.6666666666666666,0.18604651162790697,24.93,5.52,4.521,6026.8,Yeh movie dekhne ke baad mujhe bahut achha laga,"ये, नोवी देखने के बाद मुई वाहुट अखा लागा।"
HGM010,fp32,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.046511627906976744,19.7,4.41,4.472,6026.8,उसकी salary पिछले महीने से थोड़ी बढ़ गई है,उसकी सारारी पिछले महिने से थोड़ी बढ़ा गई है।
HGR010,fp32,HING_ROM,low,11.1,9,en,0.6666666666666666,0.23255813953488372,24.19,5.2,4.656,6026.8,Uski salary pichhle mahine se thodi badh gayi hai,असकी सैलरी पिछला महीने जितोडी बार्ट गाई है।
HGM011,fp32,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.045454545454545456,25.68,5.71,4.5,6026.8,हमें कल तक यह form ज़रूर जमा करना होगा,हमें कल तक यह फोर्म जरूर जमा करना होगा.
HGR011,fp32,HING_ROM,low,11.1,9,en,0.7777777777777778,0.24444444444444444,32.17,6.96,4.625,6026.8,Hamein kal tak yeh form zaroor jama karna hoga,हमाईं का तक ये फॉर्म ज्जारो जामकाना होगा.
HGM012,fp32,HING_MIX,low,11.1,9,hi,0.1111111111111111,0.045454545454545456,25.5,5.47,4.659,6026.8,मेरे papa हर रविवार को सब्ज़ी लेने जाते हैं,मेरे पापा हर रविवार को समजी लेने जाते हैं।
HGR012,fp32,HING_ROM,low,11.1,9,en,0.7777777777777778,0.1590909090909091,30.68,6.96,4.412,6026.8,Mere papa har Ravivaar ko sabzi lene jaate hain,मेर पपाहर रवीवार को सबसी लेना याता हाईनु.
HGM013,fp32,HING_MIX,low,11.1,9,hi,0.0,0.0,20.13,4.36,4.615,6026.8,उसने अपनी car पिछले साल ही बेच दी थी,उसने अपनी कार पिछले साल ही बेच दी थी।
HGR013,fp32,HING_ROM,low,11.1,9,en,0.6666666666666666,0.2702702702702703,26.77,5.89,4.546,6026.8,Usne apni car pichhle saal hi bech di thi,"उसने आई, अपनी कार्मिंग, पिछले साल, ही बैक्टी तील."
HGM014,fp32,HING_MIX,low,11.1,9,hi,1.7777777777777777,1.2244897959183674,37.91,8.21,4.615,6026.8,यह building सोलह मंज़िल ऊँची और बहुत पुरानी है,"ये सालारे निस्से वाले माइना नाउंच, दनोंबाद, आइना आदा काना, इन ये सालारे निस्से ओंडनी काना."
HGR014,fp32,HING_ROM,low,11.1,9,en,0.4444444444444444,0.08163265306122448,31.95,6.87,4.651,6026.8,Yeh building solah manzil oonchi aur bahut purani hai,ये बिल्डिंग सोला मांसील उन्छी ओर बहूत पुरानी हाई
HGM015,fp32,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.10526315789473684,21.86,4.73,4.625,6026.8,बारिश की वजह से आज school बंद कर दिया,बारिश की वजए से आज स्कूल बरंट कर दिया।
HGR015,fp32,HING_ROM,low,11.1,9,en,0.3333333333333333,0.18421052631578946,22.89,5.01,4.566,6026.8,Baarish ki wajah se aaj school band kar diya,"बारिश का इवाया, से आई श्कूल बंद कार दिया।"
HGM016,fp32,HING_MIX,low,11.1,9,hi,0.2222222222222222,0.04878048780487805,22.06,5.01,4.4,6026.8,उसने मुझे कल रात एक लंबा message भेजा था,उसने मुझे कल रात एक लंबा में सागे भेजा था।
HGR016,fp32,HING_ROM,low,11.1,9,en,0.6666666666666666,0.3170731707317073,28.59,6.22,4.597,6026.8,Usne mujhe kal raat ek lamba message bheja tha,"उजीनो यह काल, रात एक लंबा, मेसेज बेया ताओ."
HGM017,fp32,HING_MIX,low,11.1,9,hi,0.1111111111111111,0.06382978723404255,26.5,5.75,4.608,6026.8,मेरी बहन अगले साल college में दाख़िला लेगी शायद,मेरी बहन अगले साल कलेच में दाखिला लेगी शायद।
