id,condition,script,mix_level,cmi,n_words,text,parallel_id,features
HGR028,HING_ROM,latin,low,10.0,10,Uska bada bhai ek badi company mein kaam karta hai,H028,
HGM029,HING_MIX,mixed,low,11.1,9,मुझे कल सुबह hospital जाकर दवा लेनी होगी ज़रूर,H029,
HGR029,HING_ROM,latin,low,11.1,9,Mujhe kal subah hospital jaakar dawa leni hogi zaroor,H029,
HGM030,HING_MIX,mixed,low,11.1,9,उसने पूरी रात बैठकर अपना homework पूरा किया था,H030,
HGR030,HING_ROM,latin,low,11.1,9,Usne poori raat baithkar apna homework poora kiya tha,H030,
HGM031,HING_MIX,mixed,low,11.1,9,यह जगह शहर के बहुत नज़दीक और safe है,H031,
HGR031,HING_ROM,latin,low,11.1,9,Yeh jagah shehar ke bahut nazdeek aur safe hai,H031,
HGM032,HING_MIX,mixed,low,11.1,9,मेरी मम्मी हर सुबह tea बनाकर मुझे देती हैं,H032,
HGR032,HING_ROM,latin,low,11.1,9,Meri mummy har subah tea banakar mujhe deti hain,H032,
HGM033,HING_MIX,mixed,low,10.0,10,उसने अपनी बात बहुत confidence के साथ सबके सामने रखी,H033,
HGR033,HING_ROM,latin,low,10.0,10,Usne apni baat bahut confidence ke saath sabke saamne rakhi,H033,
HGM034,HING_MIX,mixed,low,10.0,10,हमें इस काम के लिए और time चाहिए होगा शायद,H034,
HGR034,HING_ROM,latin,low,10.0,10,Hamein is kaam ke liye aur time chahiye hoga shayad,H034,
HGM035,HING_MIX,mixed,low,10.0,10,वह अपनी class में हमेशा पहले नंबर पर आता है,H035,
HGR035,HING_ROM,latin,low,10.0,10,Woh apni class mein hamesha pehle number par aata hai,H035,
HGM036,HING_MIX,mixed,medium,20.0,10,कल की meeting cancel हो गई इसलिए मैं घर रहा,H036,
HGR036,HING_ROM,latin,medium,20.0,10,Kal ki meeting cancel ho gayi isliye main ghar raha,H036,
HGM037,HING_MIX,mixed,medium,30.0,10,उसने अपनी report submit करके manager को भेज दी थी,H037,
HGR037,HING_ROM,latin,medium,30.0,10,Usne apni report submit karke manager ko bhej di thi,H037,
HGM038,HING_MIX,mixed,medium,30.0,10,मुझे इस weekend कोई movie देखने का plan बनाना है,H038,
HGR038,HING_ROM,latin,medium,30.0,10,Mujhe is weekend koi movie dekhne ka plan banana hai,H038,
HGM039,HING_MIX,mixed,medium,30.0,10,हमने कल का schedule change करके नया plan बना लिया,H039,
HGR039,HING_ROM,latin,medium,30.0,10,Humne kal ka schedule change karke naya plan bana liya,H039,
HGM040,HING_MIX,mixed,medium,20.0,10,मेरा phone कल से बहुत slow चल रहा है अब,H040,
HGR040,HING_ROM,latin,medium,20.0,10,Mera phone kal se bahut slow chal raha hai ab,H040,
HGM041,HING_MIX,mixed,medium,30.0,10,उसने online form भरकर fees भी जमा कर दी थी,H041,
HGR041,HING_ROM,latin,medium,30.0,10,Usne online form bharkar fees bhi jama kar di thi,H041,
HGM042,HING_MIX,mixed,medium,30.0,10,आज traffic इतना heavy था कि मैं late पहुँच गया,H042,
HGR042,HING_ROM,latin,medium,30.0,10,Aaj traffic itna heavy tha ki main late pahunch gaya,H042,
HGM043,HING_MIX,mixed,medium,30.0,10,मेरी सारी files कल laptop से delete हो गई थीं,H043,
HGR043,HING_ROM,latin,medium,30.0,10,Meri saari files kal laptop se delete ho gayi thin,H043,
HGM044,HING_MIX,mixed,medium,20.0,10,उसका interview अच्छा गया लेकिन result अभी तक नहीं आया,H044,
HGR044,HING_ROM,latin,medium,20.0,10,Uska interview achha gaya lekin result abhi tak nahi aaya,H044,
HGM045,HING_MIX,mixed,medium,30.0,10,हमने पूरी night study करके exam की तैयारी की थी,H045,
HGR045,HING_ROM,latin,medium,30.0,10,Humne poori night study karke exam ki taiyaari ki thi,H045,
HGM046,HING_MIX,mixed,medium,30.0,10,यह app बहुत useful है और बिल्कुल free भी है,H046,
HGR046,HING_ROM,latin,medium,30.0,10,Yeh app bahut useful hai aur bilkul free bhi hai,H046,
HGM047,HING_MIX,mixed,medium,18.2,11,मुझे office से घर पहुँचने में एक hour लग जाता है,H047,
HGR047,HING_ROM,latin,medium,18.2,11,Mujhe office se ghar pahunchne mein ek hour lag jaata hai,H047,
HGM048,HING_MIX,mixed,medium,20.0,10,उसने अपना account close करवाकर सारा पैसा निकाल लिया था,H048,
HGR048,HING_ROM,latin,medium,20.0,10,Usne apna account close karwakar saara paisa nikaal liya tha,H048,
HGM049,HING_MIX,mixed,medium,30.0,10,मेरे friends ने birthday party का पूरा इंतज़ाम किया था,H049,
HGR049,HING_ROM,latin,medium,30.0,10,Mere friends ne birthday party ka poora intezaam kiya tha,H049,
HGM050,HING_MIX,mixed,medium,18.2,11,यह restaurant बहुत famous है लेकिन खाना देर से आता है,H050,
HGR050,HING_ROM,latin,medium,18.2,11,Yeh restaurant bahut famous hai lekin khaana der se aata hai,H050,
HGM051,HING_MIX,mixed,medium,20.0,10,उसने मुझे WhatsApp पर video भेजकर पूरी बात समझा दी,H051,
HGR051,HING_ROM,latin,medium,20.0,10,Usne mujhe WhatsApp par video bhejkar poori baat samjha di,H051,
HGM052,HING_MIX,mixed,medium,30.0,10,मेरी booking confirm हो गई और ticket भी मिल गया,H052,
HGR052,HING_ROM,latin,medium,30.0,10,Meri booking confirm ho gayi aur ticket bhi mil gaya,H052,
HGM053,HING_MIX,mixed,medium,27.3,11,इस software को install करने में बहुत time लग रहा है,H053,
HGR053,HING_ROM,latin,medium,27.3,11,Is software ko install karne mein bahut time lag raha hai,H053,
HGM054,HING_MIX,mixed,medium,20.0,10,उसने अपनी shop बंद करके नया business शुरू कर दिया,H054,
HGR054,HING_ROM,latin,medium,20.0,10,Usne apni shop band karke naya business shuru kar diya,H054,
HGM055,HING_MIX,mixed,medium,30.0,10,हमारी class आज online होगी क्योंकि teacher बाहर गए हैं,H055,
HGR055,HING_ROM,latin,medium,30.0,10,Hamari class aaj online hogi kyunki teacher bahar gaye hain,H055,
HGM056,HING_MIX,mixed,medium,20.0,10,मैंने अपना password change कर लिया लेकिन फिर भूल गया,H056,
HGR056,HING_ROM,latin,medium,20.0,10,Maine apna password change kar liya lekin phir bhool gaya,H056,
HGM057,HING_MIX,mixed,medium,30.0,10,यह project deadline से पहले complete करना बहुत ज़रूरी है,H057,
HGR057,HING_ROM,latin,medium,30.0,10,Yeh project deadline se pehle complete karna bahut zaroori hai,H057,
HGM058,HING_MIX,mixed,medium,20.0,10,उसका result अच्छा आया इसलिए सबने उससे party मांगी कल,H058,
HGR058,HING_ROM,latin,medium,20.0,10,Uska result achha aaya isliye sabne usse party maangi kal,H058,
HGM059,HING_MIX,mixed,medium,20.0,10,मेरे बड़े भाई ने नई job join कर ली है,H059,
HGR059,HING_ROM,latin,medium,20.0,10,Mere bade bhai ne nayi job join kar li hai,H059,
HGM060,HING_MIX,mixed,medium,30.0,10,यह video बहुत viral हुआ और लाखों views मिल गए,H060,
HGR060,HING_ROM,latin,medium,30.0,10,Yeh video bahut viral hua aur laakhon views mil gaye,H060,
HGM061,HING_MIX,mixed,medium,18.2,11,हमें इस issue को जल्दी solve करना पड़ेगा वरना दिक्कत होगी,H061,
HGR061,HING_ROM,latin,medium,18.2,11,Hamein is issue ko jaldi solve karna padega warna dikkat hogi,H061,
HGM062,HING_MIX,mixed,medium,30.0,10,उसने अपना ticket book करवा लिया लेकिन seat नहीं मिली,H062,
HGR062,HING_ROM,latin,medium,30.0,10,Usne apna ticket book karwa liya lekin seat nahi mili,H062,
HGM063,HING_MIX,mixed,medium,30.0,10,मुझे नया router इस month order करना पड़ेगा शायद अब,H063,
HGR063,HING_ROM,latin,medium,30.0,10,Mujhe naya router is month order karna padega shayad ab,H063,
HGM064,HING_MIX,mixed,medium,20.0,10,आज lunch में मैंने कुछ भी heavy नहीं खाया था,H064,
HGR064,HING_ROM,latin,medium,20.0,10,Aaj lunch mein maine kuchh bhi heavy nahi khaaya tha,H064,
HGM065,HING_MIX,mixed,medium,20.0,10,उसने बहुत मेहनत करके अपनी company को successful बना दिया,H065,
HGR065,HING_ROM,latin,medium,20.0,10,Usne bahut mehnat karke apni company ko successful bana diya,H065,
HGM066,HING_MIX,mixed,medium,20.0,10,यह course पूरा करने में लगभग छह month लग जाएंगे,H066,
HGR066,HING_ROM,latin,medium,20.0,10,Yeh course poora karne mein lagbhag chhah month lag jayenge,H066,
HGM067,HING_MIX,mixed,medium,18.2,11,मुझे कल morning शहर से बाहर meeting के लिए जाना है,H067,
HGR067,HING_ROM,latin,medium,18.2,11,Mujhe kal morning shehar se bahar meeting ke liye jaana hai,H067,
HGM068,HING_MIX,mixed,medium,20.0,10,उसने अपनी सारी savings उस business में लगा दी थीं,H068,
HGR068,HING_ROM,latin,medium,20.0,10,Usne apni saari savings us business mein laga di thi,H068,
HGM069,HING_MIX,mixed,medium,20.0,10,हमारी society में हर साल बड़ा function होता रहता है,H069,
HGR069,HING_ROM,latin,medium,20.0,10,Hamari society mein har saal bada function hota rehta hai,H069,
HGM070,HING_MIX,mixed,medium,27.3,11,मैंने उसे call किया लेकिन उसका number busy आ रहा था,H070,
HGR070,HING_ROM,latin,medium,27.3,11,Maine use call kiya lekin uska number busy aa raha tha,H070,
HGM071,HING_MIX,mixed,high,40.0,10,मुझे कल जल्दी office जाकर morning meeting attend करनी है,H071,
HGR071,HING_ROM,latin,high,40.0,10,Mujhe kal jaldi office jaakar morning meeting attend karni hai,H071,
HGM072,HING_MIX,mixed,high,40.0,10,मेरा project submit करने की last date कल ही है,H072,
HGR072,HING_ROM,latin,high,40.0,10,Mera project submit karne ki last date kal hi hai,H072,
HGM073,HING_MIX,mixed,high,50.0,10,उसने resume update करके multiple companies में apply कर दिया,H073,
HGR073,HING_ROM,latin,high,50.0,10,Usne resume update karke multiple companies mein apply kar diya,H073,
HGM074,HING_MIX,mixed,high,36.4,11,आज weather pleasant है इसलिए हम outing plan कर रहे हैं,H074,
HGR074,HING_ROM,latin,high,36.4,11,Aaj weather pleasant hai isliye hum outing plan kar rahe hain,H074,
HGM075,HING_MIX,mixed,high,36.4,11,मेरी team ने पूरा presentation deadline से पहले complete कर लिया,H075,
HGR075,HING_ROM,latin,high,36.4,11,Meri team ne poora presentation deadline se pehle complete kar liya,H075,
HGM076,HING_MIX,mixed,high,36.4,11,उसका performance इस quarter बहुत positive रहा और promotion भी मिला,H076,
HGR076,HING_ROM,latin,high,36.4,11,Uska performance is quarter bahut positive raha aur promotion bhi mila,H076,
HGM077,HING_MIX,mixed,high,45.5,11,हमें backup लेकर सारा data new server पर shift करना है,H077,
HGR077,HING_ROM,latin,high,45.5,11,Hamein backup lekar saara data new server par shift karna hai,H077,
HGM078,HING_MIX,mixed,high,36.4,11,मैं weekend पर friends के साथ shopping mall जा रहा हूँ,H078,
HGR078,HING_ROM,latin,high,36.4,11,Main weekend par friends ke saath shopping mall jaa raha hoon,H078,
HGM079,HING_MIX,mixed,high,40.0,10,उसने online payment करके order confirm कर दिया था कल,H079,
HGR079,HING_ROM,latin,high,40.0,10,Usne online payment karke order confirm kar diya tha kal,H079,
HGM080,HING_MIX,mixed,high,40.0,10,मेरा laptop battery drain हो रही है बहुत fast आजकल,H080,
HGR080,HING_ROM,latin,high,40.0,10,Mera laptop battery drain ho rahi hai bahut fast aajkal,H080,
HGM081,HING_MIX,mixed,high,36.4,11,इस semester के subjects बहुत tough हैं और syllabus लंबा है,H081,
HGR081,HING_ROM,latin,high,36.4,11,Is semester ke subjects bahut tough hain aur syllabus lamba hai,H081,
HGM082,HING_MIX,mixed,high,40.0,10,हमारी startup ने पिछले month अच्छा funding raise कर लिया,H082,
HGR082,HING_ROM,latin,high,40.0,10,Hamari startup ne pichhle month achha funding raise kar liya,H082,
